country,name,longName,foundingDate,population,capital,largestCity,area
407,Bolivia,Plurinational State of Bolivia,1847-07-21,11410651,Sucre,Santa Cruz de la Sierra,1098583.2685832686km
413,Bosnia and Herzegovina,Bosnia and Herzegovina,3/1/1992,,Sarajevo,,51129.24112924113km
415,Botswana,Republic of Botswana,9/30/1966,2155784,Gaborone,,581740.4817404817km
417,Bouvet Island,Bouvet Island,1/23/1928,,,,49km
418,Bouvet Island,Bouvet Island,12/1/1927,,,,49km
423,Brazil,Federative Republic of Brazil,1822-09-07,205338000,Brasília,São Paulo,8514884.744884744km
424,Brazil,Federative Republic of Brazil,1825-08-29,205338000,Brasília,São Paulo,8514884.744884744km
430,the British Antarctic Territory,British Antarctic Territory,,250,London,,1709401.7094017095km
431,the British Antarctic Territory,British Antarctic Territory,,250,Rothera Research Station,,1709401.7094017095km
445,British Indian Ocean Territory,British Indian Ocean Territory,,3000,,,54400.414400414404km
457,,,,250000,,,1727570km
464,British Virgin Islands,Virgin Islands,,,Road Town,,152.8101528101528km
469,Brunei,"Nation of Brunei, Abode of Peace",,415717,Bandar Seri Begawan,Bandar Seri Begawan,5765.345765345765km
477,Bulgaria,Republic of Bulgaria,,,Sofia,,110911.68091168092km
485,Bunyoro,Bunyoro-Kitara Kingdom,,1400000,Hoima,Masindi,8394.198394198394km
486,,,,27000000,,Accra,238535km
492,,Burkina Faso,,17322796,Ouagadougou,,274200.9842009842km
494,Burundi,Republic of Burundi,7/1/1962,11178921,Bujumbura,,27834km
520,,,4/21/1907,50000,,São Gabriel da Cachoeira,160000km
521,,,11/15/1928,50000,,São Gabriel da Cachoeira,160000km
527,Cambodia,Kingdom of Cambodia,,15458332,Phnom Penh,,181036.00103600105km
528,Cameroon,Republic of Cameroon,1/1/1960,22534532,Yaoundé,,475444.18544418545km
529,Cameroon,Republic of Cameroon,10/1/1961,22534532,Yaoundé,,475444.18544418545km
532,Canada,,1867-07-01,35985751,Ottawa,Toronto,9982090.132090133km
533,Canada,,12/11/1931,35985751,Ottawa,Toronto,9982090.132090133km
536,Canton 10,Canton 10,6/12/1996,,Livno,Livno,4934.213934213934km
537,Canton 10,Canton 10,6/12/1996,,Tomislavgrad,Livno,4934.213934213934km
542,Cape Verde,Republic of Cabo Verde,7/5/1975,525000,Praia,,4032.634032634033km
558,Carriacou and Petite Martinique,Carriacou and Petite Martinique,,6081,"Hillsborough, Carriacou",,34.18803418803419km
559,Cascadia,Cascadia,,15638140,,Seattle,1384542.8645428645km
565,Cayman Islands,Cayman Islands,11/6/2009,,"George Town, Cayman Islands",,264.1802641802642km
569,the Central African Republic,Central African Republic,8/13/1960,4709000,Bangui,,622983.682983683km
570,the Central African Republic,Central African Republic,12/4/1976,4709000,Bangui,,622983.682983683km
571,Central Bosnia,Central Bosnia Canton,6/12/1996,,Travnik,Travnik,3189.070189070189km
577,Chad,Republic of Chad,8/11/1960,13670084,N'Djamena,,1284000km
608,Chile,Republic of Chile,1810-09-18,18006407,Santiago,,756099.4560994561km
609,Chile,Republic of Chile,1818-02-12,18006407,Santiago,,756099.4560994561km
612,the People's Republic of China,People's Republic of China,1/1/1912,1376049000,Beijing,Shanghai,9597013.727013728km
625,Christmas Island,Territory of Christmas Island,,2072,Flying Fish Cove,,134.68013468013467km
647,Cocos Islands,Cocos (Keeling) Islands,,596,"West Island, Cocos (Keeling) Islands",,13.727013727013727km
648,Cocos Islands,Territory of the,,596,"West Island, Cocos (Keeling) Islands",,13.727013727013727km
653,the Collectivity of Saint Martin,Collectivity of Saint Martin,1648-03-23,,"Marigot, Saint Martin","Marigot, Saint Martin",53.095053095053096km
654,the Collectivity of Saint Martin,Collectivity of Saint Martin,7/15/2007,,"Marigot, Saint Martin","Marigot, Saint Martin",53.095053095053096km
656,Colombia,Republic of Colombia,1810-07-20,48400388,Bogotá,,1141753.4317534317km
657,Colombia,Republic of Colombia,1819-08-07,48400388,Bogotá,,1141753.4317534317km
686,Commander Islands,Commander Islands,,613,,,1844.081844081844km
695,,Commonwealth of Independent States,5/15/1992,276917629,,Moscow,20996932km
697,,,11/19/1926,2328000000,,,29958223.258223258km
698,,,12/11/1931,2328000000,,,29958223.258223258km
703,Comoros,Union of the Comoros,7/6/1975,798000,"Moroni, Comoros",,1882.931882931883km
708,,Conch Republic,4/23/1982,,,,15.4km
719,the Cook Islands,Cook Islands,8/4/1965,,Avarua,Avarua,235.69023569023568km
726,Costa Rica,Republic of Costa Rica,1823-07-01,,"San José, Costa Rica",,50901.3209013209km
727,Costa Rica,Republic of Costa Rica,1821-09-15,,"San José, Costa Rica",,50901.3209013209km
812,Croatia,Republic of Croatia,,,Zagreb,,56594.146594146594km
828,,Crozet Islands,,,,,352km
829,Cuba,Republic of Cuba,1895-02-24,,Havana,,109883.44988344988km
830,Cuba,Republic of Cuba,1898-12-10,,Havana,,109883.44988344988km
833,Curaçao,Country of Curaçao,10/10/2010,152760,Willemstad,Willemstad,443.92644392644394km
838,Cyprus,Republic of Cyprus,2/19/1959,1141166,Nicosia,,9251.48925148925km
839,Cyprus,Republic of Cyprus,8/16/1960,1141166,Nicosia,,9251.48925148925km
842,Czech Republic,Czech Republic,,10541466,Prague,,78865.57886557886km
859,,The Danish Realma,11/29/1978,5678348,,,42915.7km
860,,The Danish Realma,3/24/1948,5678348,,,42915.7km
869,Darfur,Darfur,,7500000,Al-Fashir,,493180km
870,Darfur,Darfur Regional Authority,5/5/2006,6000000,Al-Fashir,,493180km
871,Darfur,Darfur Regional Authority,4/23/2007,6000000,Al-Fashir,,493180km
896,the Democratic Republic of the Congo,Democratic Republic of the Congo,6/30/1960,81680000,Kinshasa,,2344871.794871795km
904,Denmark,Kingdom of Denmark,1849-06-05,5707251,Copenhagen,Capital city,42923.5km
906,,,,40,,,2700203km
925,Djibouti,Republic of Djibouti,6/27/1977,810178,Djibouti (city),,23201.2432012432km
928,Dominica,Commonwealth of Dominica,3/1/1967,72660,Roseau,,751.1007511007512km
929,Dominica,Commonwealth of Dominica,11/3/1978,72660,Roseau,,751.1007511007512km
930,Dominican Republic,Dominican Republic,1821-12-01,9980243,Santo Domingo,,48442km
931,Dominican Republic,Dominican Republic,1844-02-27,9980243,Santo Domingo,,48442km
1114,East Timor,Democratic Republic of Timor-Leste,2/10/1943,1201542,Dili,Dili,14874.384874384874km
1115,East Timor,Democratic Republic of Timor-Leste,9/2/1945,1201542,Dili,Dili,14874.384874384874km
1135,,,,416046863,,,7925407.925407926km
1136,Ecuador,Republic of Ecuador,1809-08-10,16144000,Quito,Guayaquil,283563.8435638436km
1137,Ecuador,Republic of Ecuador,1822-05-24,16144000,Quito,Guayaquil,283563.8435638436km
1139,Egypt,Arab Republic of Egypt,1805-07-09,85783,Cairo,,1002455.3224553225km
1142,El Salvador,Republic of El Salvador,1821-09-15,6377195,San Salvador,San Salvador,21041.18104118104km
1143,El Salvador,Republic of El Salvador,1823-07-01,6377195,San Salvador,San Salvador,21041.18104118104km
1180,Atlantium,Empire of Atlantium,11/27/1981,,,,0.76km
1200,Equatorial Guinea,Republic of Equatorial Guinea,10/12/1968,1,Malabo,"Bata, Equatorial Guinea",28049.728049728048km
1203,Eritrea,State of Eritrea,,6380803,Asmara,,117599.0675990676km
1212,Estonia,Republic of Estonia,,1311759,Tallinn,,45337.99533799534km
1214,Ethiopia,Federal Democratic Republic of Ethiopia,,99465819,Addis Ababa,,1104301.9943019943km
1220,Eurasian Economic Union,,10/10/2000,183319693,,Moscow,20229362.85936286km
1363,,European Free Trade Association,1/4/1960,13589956,,,529702.1497021497km
1364,,European Free Trade Association,5/3/1960,13589956,,,529702.1497021497km
1366,,,1/1/1958,508191116,Brussels,,4324782km
1367,,,11/1/1993,508191116,Brussels,,4324782km
1368,Falkland Islands,Falkland Islands,,2932,"Stanley, Falkland Islands",,12173.012173012174km
1372,Faroe Islands,Faroe Islands,1814-01-14,49709,Tórshavn,,1398.6013986013986km
1382,the Federated States of Micronesia,Federated States of Micronesia,11/3/1986,106104,Palikir,Weno,701.8907018907018km
1387,Federation of Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,3/18/1994,2371603,Sarajevo,,26120.176120176122km
1388,Federation of Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,12/14/1995,2371603,Sarajevo,,26120.176120176122km
1397,Fiji,Republic of Fiji,10/10/1970,858038,Suva,Suva,18275.058275058276km
1398,Fiji,Republic of Fiji,10/7/1987,858038,Suva,Suva,18275.058275058276km
1399,Finland,Republic of Finland,1809-03-29,5486125,Helsinki,,338243.9782439782km
1400,Finland,Republic of Finland,12/6/1917,5486125,Helsinki,,338243.9782439782km
1448,France,French Republic,,66644000,Paris,Capital city,643874.6438746438km
1477,Trieste,,2/10/1947,,Trieste,,738.1507381507381km
1478,Trieste,,1/10/1947,,Trieste,,738.1507381507381km
1479,Christiania,Freetown Christiania,,,,,0.3367003367003367km
1498,French Polynesia,French Polynesia,,,Papeete,Faaa,4167.314167314167km
1506,the French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,,150,"Saint-Pierre, Réunion",,439781km
1521,Gabon,Gabonese Republic,8/17/1960,1475000,Libreville,,267668.9976689977km
1522,Gagauzia,Autonomous Territorial Unit of Gagauzia (Gagauz Yeri),12/23/1994,160700,Comrat,,1831.1318311318312km
1529,Galmudug,Galmudug State of Somalia,8/14/2006,,Dhusamareb,Galkayo,146000km
1547,,Gaza Strip,,1850000,,Gaza City,365km
1557,,Saint-Pierre and Miquelon,,,"Saint-Pierre, Saint Pierre and Miquelon","Saint-Pierre, Saint Pierre and Miquelon",241.90624190624192km
1558,Georgia,Georgia,5/26/1918,3729500,Tbilisi,Capital city,69699.5596995597km
1570,Germany,Federal Republic of Germany,0962-02-02,81459000,Berlin,Capital city,357024.087024087km
1571,Germany,Federal Republic of Germany,1815-06-08,81459000,Berlin,Capital city,357024.087024087km
1576,Ghana,Republic of Ghana,3/6/1957,27000000,Accra,,238536.64853664854km
1586,Gibraltar,Gibraltar,1704-08-04,32194,,,6.734006734006734km
1587,Gibraltar,Gibraltar,1713-04-11,32194,,,6.734006734006734km
1611,Gold Coast Region,Gold Coast,,25366462,,,238535km
1661,Flandrensis,Grand Duchy of Flandrensis,9/4/2008,237,,,14890km
1673,Lagoan Isles,Grand Duchy of the Lagoan Isles,8/16/2005,,,,0.043km
1678,Grande Comore,Autonomous Island of Grande Comore,,316600,"Moroni, Comoros",,1025km
1687,Greece,Hellenic Republic,1821-03-25,10955000,Athens,,131958.04195804195km
1688,Greece,Hellenic Republic,1830-02-03,10955000,Athens,,131958.04195804195km
1690,Greenland,Greenland,,55847,,,2165524.4755244753km
1691,Grenada,,3/3/1967,109590,"St. George's, Grenada",,343.952343952344km
1692,Grenada,,2/7/1974,109590,"St. George's, Grenada",,343.952343952344km
1695,Guam,Territory of Guam,,161785,"Hagåtña, Guam",,543.9005439005439km
1699,Guatemala,Republic of Guatemala,1821-09-15,15806675,Guatemala City,Guatemala City,108888.88888888889km
1700,Guatemala,Republic of Guatemala,1823-07-01,15806675,Guatemala City,Guatemala City,108888.88888888889km
1702,Guernsey,Jurisdiction of Guernsey,5/9/1945,65849,Saint Peter Port,,77.95907795907796km
1703,Guinea,Republic of Guinea,10/2/1958,8746128,Conakry,,245858.58585858587km
1704,Guinea-Bissau,Republic of Guinea-Bissau,9/24/1973,1693398,Bissau,,36125.35612535613km
1705,Guinea-Bissau,Republic of Guinea-Bissau,9/10/1974,1693398,Bissau,,36125.35612535613km
1716,Guyana,Co-operative Republic of Guyana,,735554,"Georgetown, Guyana",,214970.21497021496km
1731,Haiti,Republic of Haiti,1804-01-01,10604000,Port-au-Prince,,27749.28774928775km
1732,Haiti,Republic of Haiti,1844-02-27,10604000,Port-au-Prince,,27749.28774928775km
